;timestamps;training_score;training_rolling_average
0;0.8443500995635986;0.8882730007171631;0.9191906452178955
1;0.9646210670471191;0.9915502071380615;1.0284857749938965
2;1.0978014469146729;1.130746603012085;1.1785857677459717
3;1.2314839363098145;11.0;16.0
4;11.0;17.0;9.0
5;13.0;29.0;12.0
6;19.0;22.0;11.0
7;13.5;12.666666666666666;13.75
8;12.8;12.833333333333334;15.142857142857142
9;14.75;15.222222222222221;15.9
