timestamps;training_score;testing_score
0.001001119613647461;12.0;19.0
0.21031832695007324;28.0;26.0
0.5294644832611084;12.0;10.0
1.126650094985962;22.0;19.0
3.3387629985809326;71.0;13.0
3.8000831604003906;17.0;13.0
4.245889902114868;15.0;16.0
4.878192663192749;25.0;19.0
5.352923154830933;21.0;16.0
5.7865309715271;20.0;12.0
6.391268968582153;12.0;9.0
6.92608380317688;23.0;10.0
7.6628642082214355;25.0;8.0
7.972728490829468;13.0;12.0
8.405229806900024;10.0;10.0
9.2472825050354;21.0;12.0
9.626269340515137;10.0;10.0
10.040151357650757;15.0;10.0
10.300481081008911;11.0;15.0
10.954757928848267;27.0;17.0
11.121312141418457;8.0;20.0
11.50082278251648;19.0;9.0
11.814596891403198;15.0;8.0
12.05640983581543;11.0;12.0
12.798365116119385;31.0;10.0
13.111563444137573;13.0;12.0
13.419774055480957;15.0;8.0
13.620280504226685;10.0;9.0
13.978025197982788;17.0;10.0
14.391886472702026;18.0;10.0
14.656311273574829;11.0;9.0
14.954515218734741;13.0;9.0
15.541971683502197;25.0;11.0
15.85114336013794;12.0;10.0
16.088531255722046;9.0;10.0
16.29938507080078;10.0;10.0
16.648174047470093;10.0;10.0
18.219300031661987;71.0;29.0
18.82302737236023;23.0;56.0
19.825254201889038;43.0;127.0
22.48912501335144;97.0;68.0
23.994364500045776;76.0;200.0
25.175071477890015;58.0;109.0
26.969439268112183;82.0;200.0
30.178189992904663;145.0;79.0
33.08081293106079;142.0;200.0
36.82960057258606;162.0;106.0
42.09009408950806;200.0;200.0
45.33585214614868;116.0;200.0
50.536635875701904;189.0;200.0
53.63109493255615;110.0;112.0
58.49664330482483;200.0;118.0
61.13359308242798;110.0;106.0
64.26749873161316;133.0;110.0
67.12083506584167;113.0;120.0
73.59779834747314;179.0;200.0
76.75640535354614;130.0;200.0
80.69343304634094;143.0;180.0
86.4372296333313;200.0;120.0
88.91897463798523;114.0;112.0
91.12897944450378;106.0;147.0
94.02611136436462;137.0;103.0
96.2904806137085;109.0;113.0
98.85669779777527;121.0;132.0
101.7807502746582;137.0;117.0
104.98733305931091;143.0;126.0
108.78418231010437;120.0;124.0
113.04716992378235;156.0;132.0
117.1467673778534;149.0;118.0
120.29124426841736;134.0;128.0
123.42810368537903;137.0;133.0
127.18036270141602;131.0;146.0
130.40651750564575;135.0;148.0
133.30408310890198;131.0;111.0
136.70320224761963;127.0;120.0
141.33027935028076;139.0;132.0
145.3267035484314;154.0;144.0
148.2929584980011;131.0;128.0
151.14923238754272;125.0;128.0
153.94065189361572;110.0;127.0
156.7344617843628;116.0;117.0
160.87252378463745;128.0;113.0
165.01084661483765;128.0;142.0
168.53775024414062;159.0;124.0
171.68233466148376;138.0;156.0
175.1671347618103;122.0;140.0
178.3680157661438;129.0;120.0
180.8019106388092;117.0;118.0
183.70077180862427;136.0;127.0
186.53611183166504;131.0;130.0
189.45707440376282;140.0;127.0
192.23375844955444;134.0;118.0
194.81152772903442;123.0;126.0
197.86607360839844;131.0;130.0
200.9348406791687;123.0;139.0
204.55316543579102;118.0;153.0
207.52583479881287;121.0;114.0
209.97988414764404;117.0;172.0
212.4354124069214;117.0;137.0
216.16764903068542;134.0;114.0
219.2651228904724;121.0;115.0
222.13275361061096;129.0;155.0
225.55660605430603;131.0;126.0
230.14144706726074;138.0;134.0
233.0680513381958;124.0;146.0
236.11431312561035;142.0;172.0
239.7991418838501;141.0;123.0
243.64692521095276;154.0;160.0
246.61107802391052;136.0;153.0
249.73810648918152;146.0;141.0
252.511864900589;131.0;145.0
255.12204003334045;116.0;128.0
258.07201743125916;126.0;126.0
261.574627161026;130.0;154.0
264.7079472541809;117.0;138.0
268.90162086486816;141.0;157.0
271.8458375930786;138.0;131.0
274.45071172714233;118.0;129.0
277.54860258102417;132.0;128.0
280.2387807369232;126.0;135.0
283.1799168586731;139.0;154.0
285.8986463546753;127.0;156.0
289.36624670028687;162.0;154.0
292.2043387889862;132.0;152.0
295.23451113700867;147.0;143.0
299.2550480365753;190.0;135.0
303.4879117012024;200.0;200.0
306.9197585582733;164.0;187.0
310.929372549057;188.0;200.0
315.16873145103455;200.0;139.0
318.0967903137207;136.0;140.0
322.1308786869049;189.0;148.0
325.62860774993896;166.0;140.0
328.44947361946106;134.0;150.0
331.22386026382446;129.0;200.0
334.95876479148865;179.0;182.0
338.0541832447052;146.0;145.0
340.81016731262207;132.0;141.0
345.0696544647217;200.0;200.0
348.8978159427643;181.0;200.0
353.09270334243774;200.0;170.0
356.14857506752014;146.0;200.0
359.39138102531433;155.0;200.0
362.94507670402527;168.0;200.0
367.1152138710022;200.0;200.0
371.4072015285492;200.0;200.0
375.1785981655121;175.0;200.0
378.53249955177307;157.0;170.0
382.12441873550415;168.0;163.0
385.2877640724182;151.0;182.0
