timestamps;training_score;testing_score
0.6293239593505859;20.0;19.0
0.667227029800415;25.0;12.0
0.6941556930541992;16.0;14.0
0.7301523685455322;29.0;31.0
0.7700045108795166;31.0;19.0
0.7899162769317627;14.0;14.0
0.810859203338623;14.0;18.0
0.8596937656402588;22.0;16.0
0.9115538597106934;21.0;27.0
1.0023131370544434;66.0;27.0
1.0441665649414062;29.0;15.0
1.0630760192871094;11.0;11.0
1.0979533195495605;24.0;12.0
1.12791109085083;20.0;9.0
1.1658108234405518;25.0;13.0
1.1917462348937988;17.0;21.0
1.2100145816802979;12.0;10.0
1.226349115371704;10.0;17.0
1.2802014350891113;41.0;18.0
1.2971606254577637;9.0;10.0
1.3111259937286377;9.0;14.0
1.3380823135375977;19.0;11.0
1.3605430126190186;14.0;13.0
1.3874752521514893;19.0;23.0
1.4084200859069824;14.0;14.0
1.4243812561035156;10.0;9.0
1.483036994934082;47.0;11.0
1.5009675025939941;11.0;12.0
1.5288515090942383;18.0;22.0
1.5437500476837158;11.0;10.0
1.5617008209228516;12.0;8.0
1.5766656398773193;9.0;21.0
1.5965776443481445;13.0;18.0
1.6145336627960205;10.0;11.0
1.6490824222564697;26.0;15.0
1.6690285205841064;12.0;60.0
1.6869800090789795;10.0;12.0
1.749025821685791;49.0;18.0
1.7635982036590576;9.0;10.0
1.7967731952667236;25.0;23.0
1.8147234916687012;14.0;18.0
1.8685827255249023;42.0;58.0
1.936401605606079;46.0;9.0
1.9633276462554932;14.0;15.0
2.006157875061035;29.0;18.0
2.0600173473358154;34.0;33.0
2.0969552993774414;21.0;37.0
2.1418404579162598;29.0;18.0
2.1647446155548096;13.0;18.0
2.1767165660858154;9.0;38.0
2.230689287185669;42.0;34.0
2.255624532699585;14.0;29.0
2.2805986404418945;14.0;12.0
2.324514627456665;28.0;43.0
2.3544325828552246;19.0;45.0
2.3963208198547363;29.0;42.0
2.4552104473114014;38.0;48.0
2.4911179542541504;23.0;16.0
2.543980360031128;35.0;13.0
2.5858335494995117;24.0;11.0
2.65468168258667;47.0;11.0
2.680614709854126;14.0;13.0
2.7135274410247803;18.0;26.0
2.788325786590576;50.0;12.0
2.8591413497924805;47.0;21.0
2.8860371112823486;12.0;26.0
2.9070193767547607;10.0;29.0
2.937933921813965;16.0;18.0
2.967850923538208;18.0;32.0
3.0286879539489746;44.0;47.0
3.07240891456604;32.0;20.0
3.147207021713257;60.0;25.0
3.222527265548706;57.0;40.0
3.278416395187378;43.0;38.0
3.3342714309692383;45.0;108.0
3.463926076889038;100.0;60.0
3.515787124633789;33.0;67.0
3.5796170234680176;49.0;69.0
3.6763594150543213;79.0;61.0
3.7289228439331055;34.0;49.0
3.8406333923339844;81.0;102.0
3.8745429515838623;19.0;46.0
3.939375400543213;39.0;54.0
4.029139518737793;60.0;57.0
4.115938425064087;57.0;78.0
4.171343088150024;44.0;69.0
4.245176792144775;63.0;53.0
4.35389256477356;79.0;82.0
4.510983228683472;95.0;30.0
4.671518087387085;114.0;39.0
4.754299640655518;67.0;54.0
4.822088003158569;47.0;41.0
4.946751117706299;86.0;50.0
5.048445224761963;72.0;33.0
5.109302997589111;43.0;47.0
5.212028980255127;69.0;84.0
5.409466981887817;151.0;106.0
5.472302198410034;43.0;45.0
5.536133050918579;41.0;60.0
5.643845081329346;76.0;92.0
5.703145503997803;51.0;69.0
5.76797342300415;45.0;50.0
5.84575629234314;54.0;63.0
5.9275383949279785;55.0;100.0
6.0252814292907715;84.0;109.0
6.09937310218811;48.0;140.0
6.238005638122559;111.0;68.0
6.32210373878479;74.0;166.0
6.42682671546936;77.0;53.0
6.498633623123169;49.0;81.0
6.5544843673706055;44.0;55.0
6.6502299308776855;82.0;38.0
