timestamps;training_score;testing_score
0.5575101375579834;23.0;51.0
0.5914196968078613;26.0;53.0
0.6153581142425537;20.0;15.0
0.6457500457763672;25.0;19.0
0.66513991355896;16.0;41.0
0.6940622329711914;27.0;22.0
0.7219841480255127;26.0;13.0
0.7399389743804932;12.0;23.0
0.7607772350311279;11.0;20.0
0.7877047061920166;13.0;21.0
0.8146326541900635;14.0;13.0
0.840564489364624;18.0;19.0
0.8585150241851807;13.0;19.0
0.8814129829406738;16.0;13.0
0.903315544128418;14.0;18.0
0.9222254753112793;14.0;10.0
0.9385287761688232;11.0;10.0
0.9544832706451416;11.0;15.0
0.9704437255859375;11.0;22.0
0.991379976272583;14.0;14.0
1.0103273391723633;12.0;10.0
1.0343003273010254;18.0;16.0
1.0592341423034668;19.0;10.0
1.0841283798217773;17.0;11.0
1.1090624332427979;19.0;18.0
1.1380047798156738;22.0;15.0
1.1599466800689697;19.0;15.0
1.187835693359375;22.0;16.0
1.202754259109497;11.0;10.0
1.227755069732666;21.0;17.0
1.2526907920837402;19.0;18.0
1.2755882740020752;18.0;13.0
1.2915472984313965;11.0;23.0
1.3214702606201172;23.0;25.0
1.3414170742034912;15.0;36.0
1.3620469570159912;17.0;15.0
1.384615182876587;16.0;23.0
1.404561996459961;17.0;34.0
1.4205172061920166;14.0;11.0
1.4374711513519287;13.0;18.0
1.4665250778198242;23.0;29.0
1.4854743480682373;16.0;20.0
1.5124058723449707;22.0;38.0
1.5333521366119385;15.0;13.0
1.5737831592559814;37.0;32.0
1.6023187637329102;23.0;15.0
1.620274543762207;15.0;25.0
1.6551859378814697;30.0;19.0
1.6841075420379639;26.0;12.0
1.7399606704711914;53.0;46.0
1.767932415008545;22.0;22.0
1.826777458190918;60.0;27.0
1.8985905647277832;71.0;22.0
1.9174973964691162;15.0;44.0
1.9593908786773682;39.0;39.0
2.0042316913604736;42.0;26.0
2.075042963027954;39.0;31.0
2.161808490753174;81.0;60.0
2.2146692276000977;48.0;32.0
2.275507688522339;57.0;138.0
2.3144092559814453;35.0;20.0
2.4300997257232666;127.0;31.0
2.487945079803467;54.0;51.0
2.5258007049560547;35.0;54.0
