timestamps;training_score;testing_score
0.38923001289367676;14.0;12.0
0.4236328601837158;10.0;13.0
0.48479151725769043;26.0;24.0
0.5386486053466797;25.0;45.0
0.6284096240997314;41.0;34.0
0.6523458957672119;11.0;23.0
0.6742873191833496;10.0;13.0
0.7241549491882324;24.0;11.0
0.7700331211090088;25.0;26.0
0.8019473552703857;9.0;16.0
0.8497805595397949;19.0;21.0
0.8762145042419434;13.0;8.0
0.9031414985656738;14.0;9.0
0.9230878353118896;12.0;21.0
0.9938976764678955;30.0;20.0
1.1165692806243896;24.0;23.0
1.1524744033813477;19.0;11.0
1.1804001331329346;12.0;24.0
1.2033379077911377;12.0;18.0
1.242748737335205;21.0;11.0
1.2936129570007324;18.0;17.0
1.3763916492462158;33.0;17.0
1.4222702980041504;27.0;15.0
1.4870612621307373;40.0;13.0
1.5219674110412598;22.0;12.0
1.540916919708252;11.0;18.0
1.5867958068847656;29.0;12.0
1.6207048892974854;21.0;10.0
1.6426162719726562;13.0;21.0
1.665553092956543;14.0;17.0
1.7164177894592285;19.0;11.0
1.7652907371520996;21.0;14.0
1.809178113937378;29.0;15.0
1.8450860977172852;20.0;19.0
1.8750052452087402;18.0;13.0
1.9123077392578125;23.0;18.0
1.9332516193389893;13.0;24.0
1.987107276916504;18.0;18.0
2.025006055831909;20.0;18.0
2.0409629344940186;9.0;44.0
2.07985782623291;23.0;13.0
2.1287267208099365;24.0;25.0
2.1815648078918457;28.0;23.0
2.221459150314331;19.0;16.0
2.26833176612854;10.0;20.0
2.369063138961792;32.0;17.0
2.430891990661621;36.0;47.0
2.4727816581726074;16.0;19.0
2.523644208908081;19.0;24.0
2.592459201812744;40.0;16.0
2.624340534210205;14.0;29.0
2.6821861267089844;34.0;45.0
2.720083236694336;22.0;28.0
2.778926372528076;34.0;26.0
2.826308012008667;28.0;60.0
2.942997455596924;77.0;40.0
2.9968535900115967;34.0;30.0
3.049712657928467;36.0;67.0
3.129498243331909;51.0;71.0
3.3199894428253174;93.0;49.0
3.5217373371124268;96.0;77.0
3.597318649291992;52.0;53.0
3.756892204284668;65.0;22.0
3.802769660949707;28.0;55.0
3.8935272693634033;41.0;40.0
3.948381185531616;32.0;45.0
3.991267204284668;27.0;39.0
4.107956409454346;74.0;19.0
4.146854877471924;24.0;24.0
4.2555646896362305;25.0;27.0
4.3164026737213135;20.0;14.0
4.358479261398315;13.0;16.0
4.450237035751343;36.0;14.0
4.486141204833984;13.0;12.0
4.536011219024658;18.0;19.0
4.580891370773315;18.0;15.0
4.640728950500488;20.0;12.0
4.737469434738159;15.0;18.0
4.7953150272369385;14.0;13.0
4.861135721206665;24.0;11.0
4.891042709350586;17.0;17.0
4.9249513149261475;18.0;15.0
4.950870990753174;15.0;25.0
4.982785701751709;19.0;23.0
5.0176920890808105;20.0;13.0
5.053501844406128;21.0;17.0
5.131293058395386;36.0;23.0
5.159217834472656;17.0;16.0
5.192129373550415;21.0;20.0
5.218884468078613;16.0;33.0
5.254365682601929;20.0;32.0
5.2892725467681885;22.0;44.0
5.31420636177063;15.0;39.0
5.352104425430298;25.0;35.0
5.393992185592651;27.0;20.0
5.435880184173584;25.0;22.0
5.514669179916382;51.0;22.0
5.555559873580933;28.0;20.0
5.590466499328613;21.0;49.0
5.618392705917358;17.0;68.0
5.757022142410278;93.0;26.0
5.856754302978516;67.0;39.0
5.9913952350616455;36.0;29.0
6.0342795848846436;26.0;56.0
6.124172925949097;61.0;25.0
6.1939568519592285;44.0;42.0
6.251802206039429;37.0;42.0
6.32261323928833;43.0;41.0
6.366495132446289;26.0;18.0
6.416362524032593;30.0;50.0
6.514101266860962;59.0;35.0
6.657718658447266;91.0;51.0
6.7315216064453125;47.0;111.0
6.771413564682007;26.0;53.0
6.828261137008667;34.0;21.0
6.909029006958008;50.0;97.0
6.975850820541382;37.0;35.0
7.0955305099487305;43.0;33.0
7.181301593780518;65.0;48.0
7.221194744110107;28.0;55.0
7.28103494644165;38.0;54.0
7.364800691604614;43.0;40.0
7.442587614059448;51.0;56.0
7.486471652984619;27.0;36.0
7.541323661804199;34.0;43.0
7.60714864730835;42.0;24.0
7.71785306930542;55.0;52.0
7.798636198043823;32.0;56.0
7.904353380203247;38.0;93.0
8.261254787445068;79.0;65.0
8.344033479690552;47.0;46.0
8.406867265701294;27.0;96.0
8.480671882629395;43.0;51.0
8.624289512634277;89.0;30.0
8.956045150756836;200.0;21.0
9.001923322677612;26.0;45.0
9.045605182647705;26.0;29.0
9.099970817565918;25.0;24.0
9.150834798812866;26.0;39.0
9.196711301803589;27.0;33.0
9.257549285888672;39.0;25.0
9.302428722381592;29.0;28.0
9.3423330783844;22.0;40.0
9.414142370223999;27.0;33.0
9.46201467514038;32.0;24.0
9.499912977218628;22.0;45.0
9.567249536514282;40.0;87.0
9.630452394485474;39.0;28.0
9.67333722114563;24.0;61.0
9.737167596817017;40.0;23.0
9.780052423477173;26.0;56.0
9.837749004364014;36.0;25.0
9.949567556381226;69.0;37.0
