timestamps;training_score;testing_score
0.41286706924438477;13.0;67.0
0.48666858673095703;34.0;13.0
0.5225725173950195;20.0;16.0
0.5913887023925781;47.0;33.0
0.6252975463867188;20.0;22.0
0.671245813369751;23.0;19.0
0.6868658065795898;10.0;27.0
0.7726151943206787;48.0;25.0
0.8643667697906494;55.0;21.0
0.9311556816101074;35.0;24.0
1.013932466506958;34.0;72.0
1.1076583862304688;31.0;22.0
1.1625118255615234;33.0;30.0
1.1904375553131104;15.0;36.0
1.2564189434051514;36.0;23.0
1.3072831630706787;36.0;28.0
1.3259449005126953;16.0;60.0
1.3837897777557373;41.0;50.0
1.4463133811950684;38.0;37.0
1.5425636768341064;59.0;30.0
1.6243457794189453;40.0;72.0
1.6822936534881592;30.0;82.0
1.7291679382324219;31.0;62.0
1.7893126010894775;31.0;25.0
1.8897390365600586;67.0;24.0
1.9625236988067627;47.0;35.0
2.056173801422119;58.0;36.0
2.1110243797302246;39.0;29.0
2.170862913131714;42.0;44.0
2.235762119293213;49.0;39.0
2.317593812942505;56.0;38.0
2.381423234939575;45.0;62.0
2.4942054748535156;77.0;37.0
2.5620803833007812;44.0;52.0
2.639425039291382;42.0;36.0
2.73730206489563;67.0;35.0
2.844069719314575;82.0;40.0
2.9492435455322266;40.0;81.0
2.994502067565918;26.0;40.0
3.078432559967041;56.0;95.0
3.1450698375701904;36.0;79.0
3.227818250656128;58.0;48.0
3.273698568344116;25.0;72.0
3.3454673290252686;46.0;46.0
3.4320974349975586;57.0;41.0
3.5185773372650146;61.0;70.0
3.6005074977874756;54.0;46.0
3.7265639305114746;91.0;37.0
3.7973761558532715;51.0;46.0
3.8743343353271484;52.0;59.0
3.9458506107330322;50.0;49.0
4.117636203765869;60.0;40.0
4.187535762786865;57.0;45.0
4.306000232696533;78.0;59.0
4.4282732009887695;87.0;52.0
4.497539281845093;43.0;79.0
4.618278503417969;76.0;84.0
4.709275484085083;56.0;65.0
4.764498710632324;43.0;115.0
4.832317590713501;45.0;53.0
4.981338739395142;113.0;63.0
5.103199005126953;79.0;42.0
5.21980619430542;74.0;58.0
5.360948085784912;73.0;30.0
5.425774335861206;44.0;40.0
5.513626337051392;66.0;78.0
5.570327520370483;40.0;35.0
5.628542184829712;32.0;53.0
5.743939638137817;84.0;45.0
5.808295249938965;51.0;36.0
5.851179599761963;26.0;74.0
5.9140119552612305;42.0;64.0
5.95091438293457;23.0;26.0
5.990808010101318;26.0;24.0
6.033108711242676;26.0;57.0
6.104006290435791;52.0;34.0
6.16196608543396;25.0;25.0
6.2130677700042725;24.0;23.0
6.279936075210571;30.0;39.0
6.326058387756348;22.0;27.0
6.462288856506348;77.0;42.0
6.51115870475769;27.0;21.0
6.574960947036743;42.0;61.0
6.626455783843994;37.0;36.0
6.699214458465576;45.0;79.0
6.770451307296753;35.0;39.0
6.8084893226623535;23.0;32.0
6.85636043548584;29.0;35.0
6.962250709533691;71.0;20.0
7.006133079528809;28.0;61.0
7.049023866653442;28.0;42.0
7.1099138259887695;43.0;38.0
7.148792266845703;20.0;21.0
7.210965871810913;41.0;36.0
7.266831159591675;27.0;46.0
7.313793659210205;24.0;37.0
7.3563501834869385;19.0;34.0
7.4162445068359375;44.0;16.0
7.45768141746521;24.0;32.0
7.521846055984497;28.0;16.0
7.549772024154663;18.0;27.0
7.590663194656372;24.0;21.0
7.648133039474487;24.0;24.0
7.710641145706177;19.0;25.0
7.775054693222046;42.0;35.0
7.830127000808716;27.0;28.0
7.862008333206177;16.0;25.0
7.903896808624268;27.0;24.0
7.936813592910767;18.0;33.0
7.945828437805176;16.0;22.0
7.98973536491394;32.0;29.0
8.017761945724487;20.0;33.0
8.069623708724976;34.0;28.0
8.113510131835938;28.0;29.0
8.170845985412598;39.0;38.0
8.236901044845581;45.0;30.0
8.337108850479126;68.0;49.0
8.396114587783813;28.0;27.0
8.459530115127563;40.0;62.0
8.518373727798462;43.0;30.0
8.58035922050476;33.0;23.0
8.639312982559204;32.0;27.0
8.732064962387085;68.0;31.0
8.77196192741394;24.0;30.0
8.828829526901245;27.0;23.0
8.872610092163086;27.0;39.0
8.985754251480103;39.0;43.0
9.047602891921997;27.0;22.0
9.10348892211914;37.0;36.0
9.198068141937256;75.0;36.0
9.260233402252197;42.0;54.0
9.333038806915283;53.0;31.0
9.397865056991577;45.0;35.0
9.434771299362183;23.0;27.0
9.487410545349121;30.0;42.0
9.548241376876831;35.0;31.0
9.631280183792114;58.0;34.0
9.680571794509888;33.0;74.0
9.81545901298523;111.0;55.0
9.881282806396484;44.0;37.0
9.937155723571777;40.0;48.0
9.98100471496582;29.0;27.0
10.032447099685669;34.0;39.0
10.081860303878784;30.0;39.0
10.149951457977295;44.0;54.0
10.270172357559204;49.0;31.0
10.321122169494629;35.0;83.0
10.365966320037842;30.0;41.0
10.418825626373291;37.0;42.0
10.481732606887817;47.0;39.0
10.547278881072998;45.0;27.0
10.602298736572266;30.0;31.0
10.701622486114502;71.0;37.0
10.789255380630493;66.0;43.0
10.85193920135498;32.0;59.0
10.939702987670898;57.0;29.0
10.99256157875061;34.0;80.0
11.035073041915894;27.0;33.0
11.094302415847778;29.0;47.0
11.176057577133179;60.0;67.0
11.302430152893066;80.0;55.0
11.460242986679077;56.0;33.0
11.547050952911377;56.0;54.0
11.613030910491943;43.0;52.0
11.698822736740112;51.0;36.0
11.750362396240234;31.0;36.0
