timestamps;training_score;testing_score
0.48948168754577637;12.0;35.0
0.5306429862976074;19.0;12.0
0.585895299911499;33.0;11.0
0.6125307083129883;15.0;19.0
0.6569836139678955;26.0;15.0
0.6739931106567383;13.0;19.0
0.7308073043823242;34.0;22.0
0.7547433376312256;11.0;21.0
0.8285460472106934;44.0;12.0
0.8574700355529785;15.0;13.0
0.8814060688018799;13.0;32.0
0.8904805183410645;12.0;29.0
0.9257771968841553;20.0;17.0
0.9711141586303711;25.0;16.0
1.0424189567565918;47.0;41.0
1.0760812759399414;16.0;29.0
1.1507587432861328;50.0;16.0
1.196789264678955;23.0;34.0
1.2421629428863525;18.0;41.0
1.3169639110565186;34.0;27.0
1.406721830368042;38.0;73.0
1.4615719318389893;13.0;23.0
1.536205768585205;36.0;31.0
1.5691182613372803;19.0;39.0
1.6180424690246582;25.0;23.0
1.6683945655822754;30.0;18.0
1.7236199378967285;28.0;75.0
1.760521411895752;20.0;16.0
1.8063991069793701;25.0;45.0
1.8343243598937988;15.0;17.0
1.8692309856414795;22.0;19.0
1.920361042022705;33.0;10.0
1.9452941417694092;15.0;25.0
1.975217342376709;15.0;14.0
2.0260801315307617;31.0;59.0
2.0700416564941406;21.0;20.0
2.1679022312164307;63.0;13.0
2.2194018363952637;30.0;35.0
2.256188154220581;19.0;24.0
2.340395450592041;56.0;14.0
2.416154146194458;47.0;66.0
2.445038080215454;15.0;34.0
2.500974655151367;34.0;33.0
2.6320250034332275;79.0;31.0
2.7999887466430664;70.0;46.0
2.831902265548706;20.0;36.0
2.859330177307129;12.0;62.0
2.9161782264709473;36.0;24.0
2.9749841690063477;36.0;25.0
3.014876127243042;24.0;28.0
3.0707855224609375;40.0;29.0
3.154749631881714;51.0;41.0
3.1920111179351807;16.0;24.0
3.2378580570220947;27.0;24.0
3.3031952381134033;33.0;42.0
3.381291627883911;39.0;55.0
3.425081968307495;24.0;37.0
3.504838466644287;50.0;41.0
3.621525764465332;76.0;35.0
3.69014048576355;50.0;84.0
3.7727913856506348;53.0;78.0
3.877821683883667;63.0;40.0
4.015160322189331;65.0;63.0
4.09691596031189;55.0;37.0
4.170716762542725;50.0;94.0
4.232052803039551;46.0;55.0
4.3981382846832275;117.0;148.0
4.477590322494507;42.0;47.0
4.568350791931152;57.0;126.0
4.656031847000122;48.0;47.0
4.774858236312866;77.0;99.0
4.838157415390015;45.0;26.0
4.905453681945801;35.0;63.0
5.151792764663696;141.0;44.0
5.317735195159912;112.0;66.0
5.372062683105469;32.0;61.0
5.442529678344727;37.0;66.0
5.520973443984985;47.0;34.0
5.613724946975708;59.0;37.0
5.68952202796936;49.0;52.0
5.75406813621521;42.0;55.0
5.871125936508179;73.0;56.0
6.022399187088013;101.0;64.0
6.089690685272217;37.0;64.0
6.1954076290130615;70.0;45.0
6.368282794952393;74.0;46.0
6.44181489944458;53.0;127.0
6.581982851028442;90.0;61.0
6.685526132583618;63.0;56.0
6.718438148498535;18.0;67.0
6.811980962753296;64.0;48.0
6.93165922164917;77.0;55.0
7.053739786148071;80.0;57.0
7.174768686294556;82.0;70.0
7.277492523193359;70.0;92.0
7.354075908660889;48.0;71.0
7.5382349491119385;83.0;81.0
7.608573913574219;50.0;49.0
7.6901936531066895;49.0;63.0
7.797905206680298;73.0;88.0
7.902354717254639;73.0;78.0
7.980515003204346;51.0;53.0
8.098804473876953;75.0;57.0
8.174831628799438;48.0;62.0
8.27356743812561;65.0;48.0
8.365321397781372;61.0;36.0
8.464003086090088;60.0;61.0
8.646658658981323;101.0;36.0
8.744596481323242;62.0;65.0
8.972985982894897;157.0;75.0
9.050651788711548;52.0;52.0
9.138818740844727;59.0;52.0
9.25909948348999;79.0;63.0
9.332295656204224;44.0;58.0
9.49685549736023;112.0;44.0
9.58960509300232;63.0;66.0
9.690391778945923;65.0;66.0
9.794764995574951;68.0;49.0
10.032459020614624;112.0;71.0
10.122218608856201;64.0;59.0
10.20942759513855;65.0;76.0
10.285693407058716;52.0;60.0
10.420162916183472;96.0;107.0
10.522419691085815;60.0;120.0
10.623258829116821;76.0;101.0
10.74217963218689;73.0;82.0
10.913709163665771;113.0;48.0
10.991021871566772;39.0;55.0
11.16867470741272;109.0;62.0
11.253048419952393;53.0;93.0
11.360305547714233;69.0;79.0
11.467566013336182;76.0;99.0
11.576276063919067;73.0;184.0
11.661978006362915;51.0;61.0
11.734596252441406;45.0;49.0
11.838278532028198;66.0;64.0
11.982578992843628;91.0;49.0
12.210400342941284;118.0;104.0
12.310882806777954;74.0;154.0
12.454385757446289;86.0;83.0
12.622934818267822;124.0;110.0
12.737159729003906;68.0;76.0
12.844707489013672;81.0;80.0
13.006581783294678;107.0;75.0
13.168149709701538;116.0;86.0
13.358718633651733;82.0;99.0
13.522379398345947;116.0;87.0
13.660010576248169;93.0;82.0
13.79409909248352;89.0;88.0
13.921847820281982;82.0;93.0
14.089981079101562;108.0;86.0
14.263517618179321;126.0;115.0
14.577710628509521;184.0;153.0
14.82518744468689;195.0;174.0
14.925505638122559;70.0;188.0
15.11384129524231;119.0;73.0
15.232523679733276;80.0;138.0
15.438382625579834;145.0;115.0
15.673922061920166;105.0;154.0
15.798652648925781;89.0;75.0
15.937307357788086;91.0;156.0
16.125308752059937;128.0;200.0
16.27582311630249;103.0;132.0
16.50064730644226;146.0;87.0
16.712071895599365;94.0;89.0
16.89464259147644;131.0;77.0
17.115220546722412;133.0;144.0
17.306708097457886;132.0;143.0
17.494754552841187;118.0;200.0
17.72659206390381;155.0;102.0
17.882905960083008;94.0;149.0
18.056652069091797;112.0;134.0
18.21860361099243;120.0;77.0
18.339526414871216;74.0;100.0
18.49535870552063;116.0;183.0
18.658921718597412;115.0;168.0
18.866971969604492;95.0;148.0
19.15741539001465;196.0;200.0
19.3651921749115;139.0;88.0
19.546018362045288;114.0;183.0
19.68678617477417;99.0;110.0
19.820820331573486;95.0;183.0
20.03125762939453;152.0;115.0
20.169036388397217;89.0;159.0
20.471518993377686;200.0;123.0
20.613256454467773;105.0;158.0
20.916627883911133;200.0;133.0
21.035310745239258;91.0;197.0
21.22501277923584;123.0;155.0
21.495311737060547;184.0;141.0
21.785272121429443;200.0;200.0
22.162704944610596;200.0;200.0
22.459498643875122;200.0;200.0
22.745135068893433;200.0;200.0
23.045786380767822;200.0;200.0
23.38315176963806;200.0;200.0
23.67960810661316;200.0;200.0
23.969093561172485;200.0;200.0
24.24934458732605;200.0;200.0
