timestamps;training_score;testing_score
0.4358706474304199;19.0;22.0
0.4568145275115967;10.0;18.0
0.5296194553375244;47.0;32.0
0.5685153007507324;21.0;27.0
0.5944457054138184;13.0;33.0
0.6502952575683594;35.0;31.0
0.6891920566558838;26.0;24.0
0.7430486679077148;30.0;33.0
0.767981767654419;16.0;25.0
0.7859346866607666;13.0;23.0
0.8128626346588135;16.0;22.0
0.839789628982544;20.0;14.0
0.8627264499664307;17.0;22.0
0.881676197052002;16.0;19.0
0.9031038284301758;15.0;13.0
0.92305588722229;14.0;16.0
0.9489877223968506;20.0;17.0
0.9649431705474854;13.0;12.0
0.9818978309631348;13.0;15.0
1.0018329620361328;16.0;14.0
1.0187492370605469;13.0;17.0
1.0476601123809814;25.0;12.0
1.0715587139129639;18.0;19.0
1.087517499923706;14.0;28.0
1.1074795722961426;15.0;17.0
1.1493721008300781;38.0;38.0
1.1703197956085205;15.0;50.0
1.2251241207122803;42.0;35.0
1.2660188674926758;17.0;30.0
1.3009259700775146;19.0;110.0
1.3657598495483398;51.0;57.0
1.4116737842559814;38.0;83.0
1.4435877799987793;27.0;39.0
1.4764647483825684;29.0;68.0
1.5492231845855713;70.0;72.0
1.6210708618164062;71.0;38.0
1.6689817905426025;46.0;72.0
1.7168524265289307;45.0;42.0
1.7567486763000488;36.0;60.0
1.8225769996643066;65.0;77.0
1.8712966442108154;42.0;26.0
1.947096824645996;58.0;38.0
1.9969627857208252;36.0;39.0
2.0797417163848877;59.0;52.0
2.1206319332122803;30.0;28.0
2.185540199279785;54.0;50.0
2.2443454265594482;42.0;71.0
2.2962069511413574;45.0;21.0
2.347111701965332;43.0;58.0
2.413972854614258;56.0;31.0
2.4668712615966797;43.0;50.0
2.53369402885437;50.0;63.0
2.6393935680389404;72.0;149.0
2.694467306137085;49.0;29.0
2.7712624073028564;70.0;70.0
2.8430707454681396;72.0;46.0
2.894974946975708;49.0;64.0
2.9548158645629883;58.0;79.0
3.010664939880371;54.0;77.0
3.058537244796753;43.0;91.0
3.132293701171875;69.0;74.0
3.271968364715576;120.0;90.0
3.3218376636505127;47.0;68.0
3.363391399383545;36.0;49.0
3.422193765640259;56.0;67.0
3.513949155807495;99.0;65.0
3.578779697418213;64.0;54.0
3.6675424575805664;95.0;93.0
3.767312526702881;97.0;80.0
3.8201723098754883;50.0;122.0
3.935863494873047;74.0;60.0
4.040582656860352;44.0;47.0
4.113389253616333;52.0;48.0
4.238054990768433;119.0;79.0
4.342425584793091;104.0;39.0
4.413235902786255;62.0;115.0
4.490005016326904;76.0;87.0
4.544897794723511;51.0;47.0
4.628398895263672;83.0;78.0
4.726096868515015;105.0;53.0
4.801898956298828;78.0;68.0
4.869722366333008;69.0;54.0
5.01230525970459;151.0;59.0
5.09404730796814;79.0;85.0
5.136971950531006;41.0;53.0
5.1948161125183105;47.0;60.0
5.278601884841919;86.0;86.0
5.36563777923584;91.0;74.0
5.416616916656494;49.0;114.0
5.523294925689697;103.0;122.0
5.590583324432373;67.0;88.0
5.655415058135986;57.0;66.0
5.736164569854736;70.0;146.0
5.828952789306641;89.0;87.0
5.892786264419556;57.0;69.0
6.001544237136841;105.0;59.0
6.089511871337891;77.0;114.0
6.135393142700195;44.0;62.0
6.18004584312439;43.0;61.0
6.230944871902466;50.0;55.0
6.28380823135376;51.0;60.0
6.351661682128906;58.0;55.0
6.411515951156616;57.0;50.0
6.477340459823608;55.0;139.0
6.537184000015259;60.0;79.0
6.583065748214722;43.0;48.0
6.627944469451904;40.0;74.0
6.733625173568726;102.0;52.0
6.7872397899627686;52.0;76.0
6.846081256866455;52.0;61.0
6.894949913024902;46.0;75.0
6.997676372528076;108.0;61.0
7.069481372833252;72.0;61.0
7.150265693664551;75.0;52.0
7.244019269943237;94.0;149.0
7.304663181304932;57.0;60.0
7.395339012145996;87.0;58.0
7.4631617069244385;61.0;103.0
7.574897766113281;107.0;88.0
7.653698921203613;73.0;85.0
7.743458986282349;96.0;79.0
7.820212364196777;77.0;78.0
7.88556170463562;66.0;77.0
7.963353395462036;81.0;43.0
8.148857116699219;187.0;122.0
8.263547897338867;111.0;64.0
8.327377319335938;60.0;103.0
8.393204927444458;64.0;53.0
8.46795105934143;71.0;103.0
8.527790307998657;58.0;86.0
8.609657049179077;79.0;57.0
8.657530069351196;42.0;99.0
8.747289419174194;88.0;92.0
8.831068277359009;86.0;110.0
8.929795742034912;106.0;55.0
8.978537797927856;46.0;58.0
9.05134892463684;68.0;53.0
9.133127927780151;75.0;101.0
9.218263387680054;71.0;159.0
9.339972496032715;116.0;49.0
9.454668045043945;117.0;77.0
9.564334392547607;114.0;53.0
9.622183084487915;55.0;74.0
9.752873420715332;138.0;67.0
9.852567911148071;96.0;195.0
9.995253324508667;140.0;91.0
10.119879722595215;120.0;140.0
10.23457145690918;110.0;118.0
10.307379722595215;68.0;53.0
10.429059743881226;122.0;91.0
10.528671741485596;101.0;65.0
10.609455347061157;81.0;92.0
10.666342735290527;52.0;137.0
10.770251750946045;106.0;200.0
10.842058897018433;67.0;196.0
10.931817054748535;92.0;109.0
11.010609865188599;78.0;72.0
11.223042488098145;200.0;192.0
11.316466569900513;85.0;199.0
11.527900457382202;200.0;104.0
11.746002435684204;200.0;120.0
11.868635177612305;113.0;179.0
12.071094751358032;200.0;88.0
12.242640018463135;161.0;113.0
12.443104028701782;200.0;77.0
12.6405770778656;200.0;125.0
12.727344512939453;92.0;94.0
12.921823978424072;185.0;83.0
13.006595849990845;84.0;63.0
13.076416969299316;65.0;113.0
13.202078819274902;135.0;171.0
13.350782632827759;155.0;83.0
13.481434345245361;134.0;107.0
13.576231241226196;95.0;132.0
13.681948900222778;103.0;157.0
13.851496696472168;172.0;95.0
13.965193510055542;120.0;183.0
14.115790367126465;160.0;200.0
14.310112953186035;200.0;200.0
14.497612714767456;200.0;200.0
14.690098524093628;200.0;200.0
14.881590127944946;200.0;200.0
15.073076963424683;200.0;200.0
15.269258975982666;200.0;200.0
15.468708753585815;200.0;200.0
15.651221752166748;200.0;200.0
15.8350191116333;200.0;200.0
16.029789447784424;200.0;200.0
16.232211351394653;200.0;200.0
16.42370581626892;200.0;200.0
16.625168800354004;200.0;200.0
16.84354829788208;200.0;200.0
17.06201195716858;200.0;200.0
17.26347327232361;200.0;200.0
17.446619033813477;200.0;200.0
17.628047943115234;200.0;200.0
17.82572317123413;200.0;200.0
18.019166469573975;200.0;200.0
18.21772789955139;200.0;200.0
18.429162740707397;200.0;200.0
18.619653701782227;200.0;200.0
18.806154012680054;200.0;200.0
19.000596523284912;200.0;200.0
19.18115735054016;200.0;200.0
19.361919164657593;200.0;200.0
19.54543375968933;200.0;200.0
19.727945566177368;200.0;200.0
19.910460472106934;200.0;200.0
20.096994876861572;200.0;200.0
20.282142162322998;200.0;200.0
20.460708618164062;200.0;200.0
20.652313709259033;200.0;200.0
20.839853048324585;200.0;200.0
21.015385150909424;200.0;200.0
21.199904441833496;200.0;200.0
21.38844323158264;200.0;200.0
21.570957899093628;200.0;200.0
21.763447999954224;200.0;200.0
21.951643228530884;200.0;200.0
22.13510775566101;200.0;200.0
22.337565660476685;200.0;200.0
22.540024757385254;200.0;200.0
22.73151731491089;200.0;200.0
22.94694447517395;200.0;200.0
23.136425495147705;200.0;200.0
23.31993818283081;200.0;200.0
23.525388717651367;200.0;200.0
23.705909729003906;200.0;200.0
23.91852116584778;200.0;200.0
24.106058359146118;200.0;200.0
24.27855944633484;200.0;200.0
24.478702545166016;200.0;200.0
24.684192657470703;200.0;200.0
24.86475372314453;200.0;200.0
25.05276393890381;200.0;200.0
25.242634057998657;200.0;200.0
25.43317747116089;200.0;200.0
25.633646488189697;200.0;200.0
25.82513451576233;200.0;200.0
26.00960874557495;200.0;200.0
26.192123651504517;200.0;200.0
26.382654905319214;200.0;200.0
26.600087881088257;200.0;20.0
26.78753113746643;200.0;200.0
26.977911233901978;200.0;200.0
27.162845611572266;200.0;200.0
27.37826895713806;200.0;200.0
27.58571743965149;200.0;200.0
27.790170907974243;200.0;200.0
28.01357340812683;200.0;200.0
28.201117277145386;200.0;200.0
28.22904348373413;23.0;200.0
28.432497262954712;200.0;200.0
28.638946294784546;200.0;200.0
28.849388599395752;200.0;200.0
29.032857418060303;200.0;200.0
29.22139000892639;200.0;200.0
29.42285180091858;200.0;200.0
29.613975048065186;200.0;200.0
29.806464433670044;200.0;200.0
30.009920358657837;200.0;200.0
30.205211877822876;200.0;200.0
30.400497436523438;200.0;200.0
30.589040517807007;200.0;200.0
30.77169942855835;200.0;200.0
30.9662184715271;200.0;200.0
31.166683673858643;200.0;200.0
31.35019588470459;200.0;200.0
31.531713008880615;200.0;200.0
31.72120714187622;200.0;200.0
31.911660194396973;200.0;200.0
32.09823656082153;200.0;200.0
32.284741163253784;200.0;200.0
32.48321199417114;200.0;200.0
32.67067503929138;200.0;200.0
32.86515998840332;200.0;200.0
33.05969738960266;200.0;200.0
33.2641077041626;200.0;200.0
33.45160937309265;200.0;200.0
33.649837017059326;200.0;200.0
33.82942867279053;200.0;200.0
34.02091979980469;200.0;200.0
34.21141290664673;200.0;200.0
